日期	農曆	天干	地支	月天干地支	節氣	八字流年	八字流月	紫微流月	流日命宮地支	流日四化
2025-01-01	十二月初二	庚	午	丙子	小寒	甲辰	丙子	臘月	酉	陽武陰同
2025-01-02	十二月初三	辛	未	丙子	小寒	甲辰	丙子	臘月	戌	巨陽曲昌
2025-01-03	十二月初四	壬	申	丙子	小寒	甲辰	丙子	臘月	亥	梁紫左武
2025-01-04	十二月初五	癸	酉	丙子	小寒	甲辰	丙子	臘月	子	破巨陰貪
2025-01-05	十二月初六	甲	戌	丙子	小寒	甲辰	丙子	臘月	丑	廉破武陽
2025-01-06	十二月初七	乙	亥	丁丑	小寒	甲辰	丁丑	臘月	寅	機梁紫陰
2025-01-07	十二月初八	丙	子	丁丑	小寒	甲辰	丁丑	臘月	卯	同機昌廉
2025-01-08	十二月初九	丁	丑	丁丑	小寒	甲辰	丁丑	臘月	辰	陰同機巨
2025-01-09	十二月初十	戊	寅	丁丑	小寒	甲辰	丁丑	臘月	巳	貪陰右機
2025-01-10	十二月十一	己	卯	丁丑	小寒	甲辰	丁丑	臘月	午	武貪梁曲
2025-01-11	十二月十二	庚	辰	丁丑	小寒	甲辰	丁丑	臘月	未	陽武陰同
2025-01-12	十二月十三	辛	巳	丁丑	小寒	甲辰	丁丑	臘月	申	巨陽曲昌
2025-01-13	十二月十四	壬	午	丁丑	小寒	甲辰	丁丑	臘月	酉	梁紫左武
2025-01-14	十二月十五	癸	未	丁丑	小寒	甲辰	丁丑	臘月	戌	破巨陰貪
2025-01-15	十二月十六	甲	申	丁丑	小寒	甲辰	丁丑	臘月	亥	廉破武陽
2025-01-16	十二月十七	乙	酉	丁丑	小寒	甲辰	丁丑	臘月	子	機梁紫陰
2025-01-17	十二月十八	丙	戌	丁丑	小寒	甲辰	丁丑	臘月	丑	同機昌廉
2025-01-18	十二月十九	丁	亥	丁丑	小寒	甲辰	丁丑	臘月	寅	陰同機巨
2025-01-19	十二月二十	戊	子	丁丑	小寒	甲辰	丁丑	臘月	卯	貪陰右機
2025-01-20	十二月廿一	己	丑	丁丑	大寒	甲辰	丁丑	臘月	辰	武貪梁曲
2025-01-21	十二月廿二	庚	寅	丁丑	大寒	甲辰	丁丑	臘月	巳	陽武陰同
2025-01-22	十二月廿三	辛	卯	丁丑	大寒	甲辰	丁丑	臘月	午	巨陽曲昌
2025-01-23	十二月廿四	壬	辰	丁丑	大寒	甲辰	丁丑	臘月	未	梁紫左武
2025-01-24	十二月廿五	癸	巳	丁丑	大寒	甲辰	丁丑	臘月	申	破巨陰貪
2025-01-25	十二月廿六	甲	午	丁丑	大寒	甲辰	丁丑	臘月	酉	廉破武陽
2025-01-26	十二月廿七	乙	未	丁丑	大寒	甲辰	丁丑	臘月	戌	機梁紫陰
2025-01-27	十二月廿八	丙	申	丁丑	大寒	甲辰	丁丑	臘月	亥	同機昌廉
2025-01-28	十二月廿九	丁	酉	丁丑	大寒	甲辰	丁丑	臘月	子	陰同機巨
2025-01-29	正月初一	戊	戌	丁丑	大寒	甲辰	丁丑	正月	酉	貪陰右機
2025-01-30	正月初二	己	亥	丁丑	大寒	甲辰	丁丑	正月	戌	武貪梁曲
2025-01-31	正月初三	庚	子	丁丑	大寒	甲辰	丁丑	正月	亥	陽武陰同
2025-02-01	正月初四	辛	丑	丁丑	大寒	甲辰	丁丑	正月	子	巨陽曲昌
2025-02-02	正月初五	壬	寅	丁丑	大寒	甲辰	丁丑	正月	丑	梁紫左武
2025-02-03	正月初六	癸	卯	丁丑	大寒	甲辰	丁丑	正月	寅	破巨陰貪
2025-02-04	正月初七	甲	辰	戊寅	立春	乙巳	戊寅	正月	卯	廉破武陽
2025-02-05	正月初八	乙	巳	戊寅	立春	乙巳	戊寅	正月	辰	機梁紫陰
2025-02-06	正月初九	丙	午	戊寅	立春	乙巳	戊寅	正月	巳	同機昌廉
2025-02-07	正月初十	丁	未	戊寅	立春	乙巳	戊寅	正月	午	陰同機巨
2025-02-08	正月十一	戊	申	戊寅	立春	乙巳	戊寅	正月	未	貪陰右機
2025-02-09	正月十二	己	酉	戊寅	立春	乙巳	戊寅	正月	申	武貪梁曲
2025-02-10	正月十三	庚	戌	戊寅	立春	乙巳	戊寅	正月	酉	陽武陰同
2025-02-11	正月十四	辛	亥	戊寅	立春	乙巳	戊寅	正月	戌	巨陽曲昌
2025-02-12	正月十五	壬	子	戊寅	立春	乙巳	戊寅	正月	亥	梁紫左武
2025-02-13	正月十六	癸	丑	戊寅	立春	乙巳	戊寅	正月	子	破巨陰貪
2025-02-14	正月十七	甲	寅	戊寅	立春	乙巳	戊寅	正月	丑	廉破武陽
